calls , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1796
order , comp-exec , lotos , 0 , 0.70 , 3924 , 1832
revelt , comp-exec , lotos , 0 , 0.70 , 3924 , 1608
searchinconditions , comp-exec , lotos , 0 , 0.60 , 3924 , 1732
soundnessofparallelengines , comp-exec , lotos , 0 , 0.60 , 3924 , 1744
tautologyhard , comp-exec , lotos , 0 , 0.80 , 3924 , 1784
tricky , comp-exec , lotos , 0 , 0.70 , 3924 , 1780
calls , comp-exec , maude , 0 , 0.10 , 2020 , 56
check1 , comp-exec , maude , 0 , 0.10 , 2020 , 56
check2 , comp-exec , maude , 0 , 0.10 , 2020 , 56
confluence , comp-exec , maude , 0 , 0.10 , 2020 , 56
empty , comp-exec , maude , 0 , 0.10 , 2020 , 56
fibonacci05 , comp-exec , maude , 0 , 0.10 , 2020 , 56
garbagecollection , comp-exec , maude , 0 , 0.10 , 2020 , 60
hanoi4 , comp-exec , maude , 0 , 0.10 , 2020 , 56
oddeven , comp-exec , maude , 0 , 3.60 , 3924 , 1776
order , comp-exec , maude , 0 , 0.10 , 2020 , 56
revelt , comp-exec , maude , 0 , 0.10 , 2020 , 56
searchinconditions , comp-exec , maude , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 2020 , 56
tautologyhard , comp-exec , maude , 0 , 0.10 , 2020 , 52
tricky , comp-exec , maude , 0 , 0.10 , 2020 , 56
calls , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
calls , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
calls , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
calls , exec , mcrl2-jittyc , 0 , 10.93 , 3924 , 1664
check1 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
check1 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
check1 , exec , mcrl2-jittyc , 0 , 9.41 , 3924 , 1776
check2 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
check2 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
check2 , exec , mcrl2-jittyc , 0 , 9.41 , 3924 , 1736
confluence , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
confluence , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 60
confluence , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1736
empty , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
empty , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
empty , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
empty , exec , mcrl2-jittyc , 0 , 9.21 , 3924 , 1728
fibonacci05 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 52
fibonacci05 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2-jittyc , 0 , 10.81 , 3924 , 1732
garbagecollection , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
garbagecollection , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 60
garbagecollection , exec , mcrl2-jittyc , 0 , 10.81 , 3924 , 1756
hanoi4 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
hanoi4 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
hanoi4 , exec , mcrl2-jittyc , 0 , 12.11 , 3924 , 1776
oddeven , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-jitty , 0 , 12.82 , 3924 , 1872
oddeven , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-jittyc , 0 , 21.82 , 3924 , 1732
order , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
order , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
order , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
order , exec , mcrl2-jittyc , 0 , 9.41 , 3924 , 1732
revelt , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
revelt , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 60
revelt , exec , mcrl2-jittyc , 0 , 9.71 , 3924 , 1760
searchinconditions , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1736
soundnessofparallelengines , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1672
tautologyhard , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
tautologyhard , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
tautologyhard , exec , mcrl2-jittyc , 0 , 10.91 , 3924 , 1740
tricky , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
tricky , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 52
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
tricky , exec , mcrl2-jittyc , 0 , 11.41 , 3924 , 1728
calls , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
calls , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
calls , comp , ocaml-compil , 0 , 0.20 , 3924 , 1668
calls , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
check1 , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
check1 , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
check1 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1672
check1 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
check2 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
check2 , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
check2 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1668
check2 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
confluence , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
confluence , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
confluence , comp , ocaml-compil , 0 , 0.20 , 3924 , 1776
confluence , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
empty , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
empty , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
empty , comp , ocaml-compil , 0 , 0.20 , 3924 , 1756
empty , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
fibonacci05 , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , ocaml-compil , 0 , 0.30 , 3924 , 1792
fibonacci05 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
garbagecollection , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
garbagecollection , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
garbagecollection , comp , ocaml-compil , 0 , 0.30 , 3924 , 1784
garbagecollection , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
hanoi4 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
hanoi4 , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
hanoi4 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1784
hanoi4 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
oddeven , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
oddeven , exec , ocaml-interp , 0 , 0.20 , 3924 , 1792
oddeven , comp , ocaml-compil , 0 , 0.20 , 3924 , 1872
oddeven , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
order , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
order , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
order , comp , ocaml-compil , 0 , 0.20 , 3924 , 1608
order , exec , ocaml-compil , 0 , 0.10 , 2020 , 52
revelt , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
revelt , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
revelt , comp , ocaml-compil , 0 , 0.20 , 3924 , 1792
revelt , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
searchinconditions , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
searchinconditions , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
searchinconditions , comp , ocaml-compil , 0 , 0.20 , 3924 , 1872
searchinconditions , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , ocaml-compil , 0 , 0.20 , 3924 , 1732
soundnessofparallelengines , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
tautologyhard , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
tautologyhard , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
tautologyhard , comp , ocaml-compil , 0 , 0.30 , 3924 , 1728
tautologyhard , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
tricky , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
tricky , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
tricky , comp , ocaml-compil , 0 , 0.20 , 3924 , 1780
tricky , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
calls , comp , opal , 0 , 3.30 , 3924 , 1736
calls , exec , opal , 0 , 0.10 , 2020 , 60
check1 , comp , opal , 0 , 0.80 , 3924 , 1780
check1 , exec , opal , 0 , 0.10 , 2020 , 60
check2 , comp , opal , 0 , 0.70 , 3924 , 1736
check2 , exec , opal , 0 , 0.10 , 2020 , 56
confluence , comp , opal , 0 , 0.70 , 3924 , 1724
confluence , exec , opal , 0 , 0.10 , 2020 , 52
empty , comp , opal , 0 , 0.70 , 3924 , 1760
empty , exec , opal , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , opal , 0 , 1.30 , 3924 , 1792
fibonacci05 , exec , opal , 0 , 0.10 , 2020 , 56
garbagecollection , comp , opal , 0 , 1.20 , 3924 , 1780
garbagecollection , exec , opal , 0 , 0.10 , 2020 , 56
hanoi4 , comp , opal , 0 , 1.70 , 3924 , 1792
hanoi4 , exec , opal , 0 , 0.10 , 2020 , 56
oddeven , comp , opal , 0 , 1.00 , 3924 , 1692
oddeven , exec , opal , 0 , 0.10 , 2020 , 56
order , comp , opal , 0 , 0.80 , 3924 , 1744
order , exec , opal , 0 , 0.10 , 2020 , 60
revelt , comp , opal , 0 , 1.00 , 3924 , 1604
revelt , exec , opal , 0 , 0.10 , 2020 , 56
searchinconditions , comp , opal , 0 , 0.70 , 3924 , 1792
searchinconditions , exec , opal , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , opal , 0 , 1.00 , 3924 , 1788
soundnessofparallelengines , exec , opal , 0 , 0.10 , 2020 , 56
tautologyhard , comp , opal , 0 , 1.40 , 3924 , 1760
tautologyhard , exec , opal , 0 , 0.10 , 2020 , 56
tricky , comp , opal , 0 , 1.30 , 3924 , 1796
tricky , exec , opal , 0 , 0.10 , 2020 , 56
calls , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1784
calls , comp , rascal-compil , 0 , 23.84 , 3924 , 1796
calls , exec , rascal-compil , 0 , 2.70 , 3924 , 1740
check1 , comp-exec , rascal-interp , 0 , 4.51 , 3924 , 1872
check1 , comp , rascal-compil , 0 , 22.26 , 3924 , 1736
check1 , exec , rascal-compil , 0 , 2.60 , 3924 , 1736
check2 , comp-exec , rascal-interp , 0 , 4.61 , 3924 , 1604
check2 , comp , rascal-compil , 0 , 23.63 , 3924 , 1780
check2 , exec , rascal-compil , 0 , 2.71 , 3924 , 1608
confluence , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1604
confluence , comp , rascal-compil , 0 , 22.83 , 3924 , 1732
confluence , exec , rascal-compil , 0 , 2.61 , 3924 , 1732
empty , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1732
empty , comp , rascal-compil , 0 , 23.24 , 3924 , 1872
empty , exec , rascal-compil , 0 , 2.60 , 3924 , 1876
fibonacci05 , comp-exec , rascal-interp , 0 , 4.30 , 3924 , 1780
fibonacci05 , comp , rascal-compil , 0 , 24.93 , 3924 , 1744
fibonacci05 , exec , rascal-compil , 0 , 2.70 , 3924 , 1872
garbagecollection , comp-exec , rascal-interp , 0 , 4.91 , 3924 , 1604
garbagecollection , comp , rascal-compil , 0 , 24.33 , 3924 , 1732
garbagecollection , exec , rascal-compil , 0 , 2.70 , 3924 , 1732
hanoi4 , comp-exec , rascal-interp , 0 , 4.63 , 3924 , 1872
hanoi4 , comp , rascal-compil , 0 , 23.96 , 3924 , 1780
hanoi4 , exec , rascal-compil , 0 , 2.70 , 3924 , 1780
oddeven , comp-exec , rascal-interp , 0 , 27.83 , 3924 , 1740
oddeven , comp , rascal-compil , 0 , 24.53 , 3924 , 1728
oddeven , exec , rascal-compil , 0 , 3.20 , 3924 , 1604
order , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1668
order , comp , rascal-compil , 0 , 23.14 , 3924 , 1872
order , exec , rascal-compil , 0 , 2.70 , 3924 , 1736
revelt , comp-exec , rascal-interp , 0 , 4.31 , 3924 , 1780
revelt , comp , rascal-compil , 0 , 22.93 , 3924 , 1792
revelt , exec , rascal-compil , 0 , 2.71 , 3924 , 1672
searchinconditions , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1732
searchinconditions , comp , rascal-compil , 0 , 23.43 , 3924 , 1796
searchinconditions , exec , rascal-compil , 0 , 2.71 , 3924 , 1836
soundnessofparallelengines , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1788
soundnessofparallelengines , comp , rascal-compil , 0 , 23.06 , 3924 , 1756
soundnessofparallelengines , exec , rascal-compil , 0 , 2.60 , 3924 , 1792
tautologyhard , comp-exec , rascal-interp , 0 , 4.91 , 3924 , 1788
tautologyhard , comp , rascal-compil , 0 , 28.05 , 3924 , 1756
tautologyhard , exec , rascal-compil , 0 , 2.90 , 3924 , 1732
tricky , comp-exec , rascal-interp , 0 , 4.51 , 3924 , 1744
tricky , comp , rascal-compil , 0 , 23.93 , 3924 , 1804
tricky , exec , rascal-compil , 0 , 2.71 , 3924 , 1792
calls , comp , scala , 0 , 6.51 , 3924 , 1672
calls , exec , scala , 0 , 0.60 , 3924 , 1736
check1 , comp , scala , 0 , 6.11 , 3924 , 1608
check1 , exec , scala , 0 , 0.60 , 3924 , 1836
check2 , comp , scala , 0 , 6.71 , 3924 , 1736
check2 , exec , scala , 0 , 0.60 , 3924 , 1668
confluence , comp , scala , 0 , 6.01 , 3924 , 1792
confluence , exec , scala , 0 , 0.60 , 3924 , 1740
empty , comp , scala , 0 , 5.81 , 3924 , 1732
empty , exec , scala , 0 , 0.60 , 3924 , 1756
fibonacci05 , comp , scala , 0 , 6.71 , 3924 , 1776
fibonacci05 , exec , scala , 0 , 0.60 , 3924 , 1732
garbagecollection , comp , scala , 0 , 8.21 , 3924 , 1732
garbagecollection , exec , scala , 0 , 0.60 , 3924 , 1744
hanoi4 , comp , scala , 0 , 10.71 , 3924 , 1732
hanoi4 , exec , scala , 0 , 0.70 , 3924 , 1724
oddeven , comp , scala , 0 , 6.61 , 3924 , 1760
oddeven , exec , scala , 0 , 0.70 , 3924 , 1796
order , comp , scala , 0 , 6.22 , 3924 , 1668
order , exec , scala , 0 , 0.60 , 3924 , 1836
revelt , comp , scala , 0 , 7.91 , 3924 , 1784
revelt , exec , scala , 0 , 0.60 , 3924 , 1776
searchinconditions , comp , scala , 0 , 5.81 , 3924 , 1792
searchinconditions , exec , scala , 0 , 0.60 , 3924 , 1756
soundnessofparallelengines , comp , scala , 0 , 6.71 , 3924 , 1832
soundnessofparallelengines , exec , scala , 0 , 0.60 , 3924 , 1792
tautologyhard , comp , scala , 0 , 7.41 , 3924 , 1724
tautologyhard , exec , scala , 0 , 0.60 , 3924 , 1780
tricky , comp , scala , 0 , 6.71 , 3924 , 1832
tricky , exec , scala , 0 , 0.60 , 3924 , 1740
calls , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1784
calls , comp , sml-mlton , 0 , 6.30 , 3924 , 1728
calls , exec , sml-mlton , 0 , 0.10 , 2020 , 56
check1 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1868
check1 , comp , sml-mlton , 0 , 6.21 , 3924 , 1736
check1 , exec , sml-mlton , 0 , 0.10 , 2020 , 60
check2 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1780
check2 , comp , sml-mlton , 0 , 6.21 , 3924 , 1780
check2 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
confluence , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1872
confluence , comp , sml-mlton , 0 , 6.41 , 3924 , 1740
confluence , exec , sml-mlton , 0 , 0.10 , 2020 , 56
empty , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1792
empty , comp , sml-mlton , 0 , 6.21 , 3924 , 1780
empty , exec , sml-mlton , 0 , 0.10 , 2020 , 56
fibonacci05 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1744
fibonacci05 , comp , sml-mlton , 0 , 6.21 , 3924 , 1736
fibonacci05 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
garbagecollection , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1776
garbagecollection , comp , sml-mlton , 0 , 6.41 , 3924 , 1792
garbagecollection , exec , sml-mlton , 0 , 0.10 , 2020 , 56
hanoi4 , comp-exec , sml-smlnj , 0 , 0.30 , 3924 , 1792
